musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,checkName
3/10 03:48:00 *,9,3/10 03:59:00,9,0h 11m,10h 57m,3/9 15:51:00,5.66,,,Eagle Island
3/9 21:53:00,10,3/10 04:06:00 *,10,5h 13m,7h 28m,3/9 14:25:00,8.30,,,Eagle Island
3/9 21:48:00,12,3/10 04:58:00 *,12,6h 10m,6h 58m,3/9 14:50:00,8.90,,,Eagle Island
3/10 00:01:00,13,3/10 07:36:00 *,12,6h 35m,6h 58m,3/9 17:03:00,8.90,,,Eagle Island
3/9 23:20:00,12,3/10 07:58:00 *,12,7h 38m,6h 59m,3/9 16:21:00,8.88,,,Eagle Island
3/9 23:00:00,9,3/10 08:13:00 *,8,8h 13m,7h 0m,3/9 16:00:00,8.86,,,Eagle Island
3/10 08:31:00 *,13,3/10 08:31:00,13,0h 0m,12h 15m,3/9 19:16:00,5.06,,,Eagle Island
3/10 11:33:00 *,12,3/10 16:31:00,11,4h 58m,19h 28m,3/9 15:05:00,3.18,,,Eagle Island
3/10 12:48:00,11,3/10 19:53:00,11,7h 5m,8h 12m,3/10 04:36:00,7.56,,,Eagle Island
3/10 20:45:00,14,3/11 03:14:00,14,6h 29m,9h 37m,3/10 11:08:00,6.45,,,Eagle Island
3/10 16:01:00,14,3/11 03:24:00,13,11h 23m,6h 56m,3/10 09:05:00,8.94,,,Eagle Island
3/10 15:15:00,13,3/11 04:08:00,13,12h 53m,9h 55m,3/10 05:20:00,6.25,,,Eagle Island
3/10 19:17:00,12,3/11 04:10:00,12,8h 53m,7h 34m,3/10 11:43:00,8.19,,,Eagle Island
3/11 00:58:00,11,3/11 10:22:00,11,9h 24m,8h 24m,3/10 16:34:00,7.38,,,Eagle Island
3/11 15:20:00,9,3/11 19:36:00,9,4h 16m,12h 51m,3/11 02:29:00,4.82,,,Eagle Island
3/11 15:02:00,13,3/11 19:50:00,13,4h 48m,12h 38m,3/11 02:24:00,4.91,,,Eagle Island
3/11 15:22:00,13,3/11 20:28:00,12,5h 6m,16h 2m,3/10 23:20:00,3.87,,,Eagle Island
3/11 15:22:00,11,3/11 20:29:00,11,5h 7m,16h 0m,3/10 23:22:00,3.88,,,Eagle Island
3/11 18:39:00,14,3/12 04:48:00,14,10h 9m,9h 49m,3/11 08:50:00,6.32,,,Eagle Island
3/11 21:52:00,8,3/12 04:51:00,8,6h 59m,13h 56m,3/11 07:56:00,4.45,,,Eagle Island
3/11 18:39:00,12,3/12 04:52:00,8,10h 13m,9h 5m,3/11 09:34:00,6.83,,,Eagle Island
